subject,lambda_theta,Pi_kPa,Pi_mmHg
2,1.1637185929648242,13.355337391800745,100.1733107476885
2,1.1646231155778894,13.574720357802251,101.81881901013871
2,1.1655276381909547,13.800859453763085,103.51500243608446
2,1.16643216080402,14.034011833899891,105.26378984158619
2,1.1673366834170853,14.274445400119747,107.06719065704617
2,1.1682412060301508,14.522439286960477,108.92729856456148
2,1.169145728643216,14.778284369884073,110.84629531043987
2,1.1700502512562814,15.042283798115607,112.82645470182187
2,1.1709547738693467,15.314753553281143,114.8701467968116
2,1.171859296482412,15.596023035168468,116.97984229804531
2,1.1727638190954774,15.886435676004101,119.15811716014987
2,1.1736683417085427,16.186349584715774,121.40765742211083
2,1.174572864321608,16.496138222730522,123.731264276177
2,1.1754773869346733,16.816191112940203,126.13185938554153
2,1.1763819095477386,17.146914583557745,128.6124904637249
2,1.1772864321608039,17.488732548680368,131.17633712928293
2,1.1781909547738694,17.842087327475344,133.82671705020812
2,1.1790954773869347,18.207440504009263,136.56709239318195
2,1.18,18.585273829854014,139.40107659367962
3,1.0,3.3212744970076966,24.91161791774587
3,1.0009045226130653,3.3527692810762777,25.14784832502635
3,1.0018090452261306,3.3842921454956683,25.384289352347718
3,1.002713567839196,3.4158439732201913,25.62094762241483
3,1.0036180904522614,3.4474256588201166,25.857829845059342
3,1.0045226130653266,3.479038108825356,26.09494281981764
3,1.005427135678392,3.510682242076369,26.332293438562854
3,1.0063316582914572,3.5423589900825987,26.56988868819334
3,1.0072361809045227,3.5740692973886588,26.80773565337932
3,1.008140703517588,3.605814121948456,27.045841519369027
3,1.0090452261306533,3.6375944355076197,27.284213574857162
3,1.0099497487437186,3.6694112239943504,27.522859214916505
3,1.0108542713567839,3.701265487919072,27.761785943995548
3,1.0117587939698491,3.733158242783096,28.001001378983744
3,1.0126633165829146,3.7650905194966016,28.2405132523466
3,1.01356783919598,3.7970633648061995,28.480329415332676
3,1.0144723618090452,3.8290778417324534,28.72045784125527
3,1.0153768844221105,3.8611350300175484,28.96090662885022
3,1.0162814070351758,3.893236026583521,29.201684005712888
3,1.0171859296482413,3.9253819460013335,29.44279833181652
3,1.0180904522613066,3.9575739209711225,29.68425810311442
3,1.0189949748743719,3.9898131028140376,29.926071955229023
3,1.0198994974874371,4.022100661975925,30.16824866722986
3,1.0208040201005024,4.054437788543301,30.410797165503652
3,1.021708542713568,4.086825692771976,30.653726527719336
3,1.0226130653266332,4.119265605628679,30.897045986890582
3,1.0235175879396985,4.151758779346213,31.140764935539792
3,1.0244221105527638,4.1843064879923935,31.384892929965506
3,1.025326633165829,4.216910028053313,31.62943969461724
3,1.0262311557788946,4.249570719031364,31.874415126581024
3,1.0271356783919598,4.282289904058397,32.11982930017849
3,1.0280402010050251,4.315068950524664,32.365692471684305
3,1.0289447236180904,4.347909250723816,32.61201508416407
3,1.0298492462311557,4.380812222514622,32.85880777243763
3,1.030753768844221,4.413779309999887,33.10608136817135
3,1.0316582914572865,4.446811984223067,33.35384690510322
3,1.0325628140703518,4.4799117438831635,33.60211562440493
3,1.033467336683417,4.513080116068548,33.850898980186074
3,1.0343718592964823,4.54631865701015,34.10020864514347
3,1.0352763819095476,4.579628952854764,34.3500565163615
3,1.0361809045226131,4.61301262045903,34.60045472126741
3,1.0370854271356784,4.646471308204768,34.851415623746846
3,1.0379899497487437,4.6800066968363785,35.10295183042488
3,1.038894472361809,4.713620500320909,35.355076197117015
3,1.0397989949748743,4.74731446673161,35.60780183545645
3,1.0407035175879398,4.7810903791556765,35.86114211970265
3,1.041608040201005,4.814950056626919,36.115110693736995
3,1.0425125628140703,4.848895355084278,36.36972147825224
3,1.0434170854271356,4.882928168356845,36.62498867814072
3,1.044321608040201,4.917050429176356,36.88092679008876
