subject,lambda_theta,sigma_theta_kPa,sigma_z_kPa,Pi_mmHg
1,1.139148940186086,81.71387563575547,27.467881962549527,93.01904333960042
1,1.1395241899748851,82.22788644075568,27.509925780023337,93.60416787292283
1,1.1398994397636844,82.74703449074666,27.552243633652147,94.19514039241314
1,1.1402746895524836,83.27138916011374,27.59483870939968,94.79203987044788
1,1.1406499393412826,83.80102085862033,27.637714231902635,95.39494645802691
1,1.1410251891300818,84.33600104827111,27.680873464985904,96.00394150396963
1,1.141400438918881,84.87640226046796,27.72431971218481,96.61910757444437
1,1.1417756887076802,85.42229811347252,27.76805631727538,97.2405284728471
1,1.1421509384964792,85.9737633301722,27.81208666481189,97.86828926002514
1,1.1425261882852784,86.53087375616082,27.856414180672175,98.50247627485939
1,1.1429014380740776,87.09370637813653,27.90104233261064,99.1431771552077
1,1.1432766878628768,87.66233934262647,27.945974630819556,99.79048085921987
1,1.1436519376516758,88.23685197504084,27.991214628498092,100.4444776870281
1,1.144027187440475,88.81732479906523,28.036765922429694,101.1052593028221
1,1.1444024372292743,89.40383955639547,28.082632153567776,101.77291875731437
1,1.1447776870180735,89.99647922682286,28.128817007629756,102.44755051060413
1,1.1451529368068725,90.59532804867688,28.175324215699895,103.12925045544843
1,1.1455281865956717,91.20047153963107,28.222157554840628,103.81811594094638
1,1.145903436384471,91.81199651787742,28.26932084871273,104.51424579664321
1,1.1462786861732701,92.42999112368032,28.316817968204596,105.217740357066
1,1.146653935962069,93.05454484131513,28.364652832070675,105.92870148669772
1,1.1470291857508683,93.6857485213977,28.412829407579007,106.64723260539579
1,1.1474044355396675,94.32369440361191,28.46135171116814,107.37343871426425
1,1.1477796853284667,94.96847613984731,28.51022380911374,108.1074264219923
1,1.1481549351172657,95.62018881774931,28.55944981820493,108.84930397166279
1,1.148530184906065,96.27892898469327,28.609033906430234,109.59918126804308
1,1.1489054346948642,96.94479467218738,28.65898029367372,110.35716990536413
1,1.1492806844836634,97.61788542071724,28.709293252421276,111.12338319560229
1,1.1496559342724624,98.29830230503583,28.759977108477052,111.89793619726817
1,1.1500311840612616,98.98614795991138,28.811036241690637,112.68094574471675
1,1.1504064338500608,99.68152660633791,28.862475086694545,113.47253047798425
1,1.15078168363886,100.38454407822103,28.914298133652768,114.27281087316572
1,1.151156933427659,101.09530784954643,28.96650992902014,115.08190927334252
1,1.1515321832164582,101.81392706204167,29.019115076313042,115.89994992007101
2,1.132489456276983,62.54211563048902,16.852877399425005,64.19994475176743
2,1.1328824896909973,62.82025715155446,16.88189558987017,64.48545908247979
2,1.1332755231050118,63.1011228826044,16.911004358231796,64.77376983491106
2,1.133668556519026,63.384752061395126,16.94020435166818,65.06491728690864
2,1.1340615899330406,63.67118455386323,16.969496221733454,65.35894236115155
2,1.134454623347055,63.96046086509017,16.99888062441175,65.65588663640582
2,1.1348476567610695,64.25262215047522,17.028358220151972,65.95579235899352
2,1.1352406901750838,64.54771022711466,17.057929673902432,66.2587024544736
2,1.1356337235890983,64.84576758539868,17.087595655146437,66.56466053954617
2,1.1360267570031126,65.14683740082224,17.117356837937457,66.87371093417649
2,1.1364197904171272,65.4509635460215,17.14721390093511,67.18589867395039
2,1.1368128238311415,65.75819060303479,17.177167527441142,67.50126952266031
2,1.137205857245156,66.0685638757968,17.207218405435963,67.81986998513064
2,1.1375988906591703,66.38212940286692,17.237367227615266,68.14174732028346
2,1.1379919240731848,66.69893397040013,17.267614691427056,68.46694955445322
2,1.1383849574871991,67.0190251253617,17.297961499108997,68.79552549495185
2,1.1387779909012137,67.3424511889942,17.32840835772609,69.12752474389261
2,1.139171024315228,67.66926127053799,17.358955979208538,69.46299771227432
2,1.1395640577292425,67.99950528121505,17.389605080390268,69.80199563433588
2,1.1399570911432568,68.33323394847558,17.42035638304718,70.14457058218048
2,1.1403501245572714,68.67049883051949,17.45121061393645,70.49077548068212
2,1.1407431579712857,69.01135233109122,17.482168504835563,70.84066412267241
2,1.1411361913853,69.35584771456016,17.513230792582043,71.1942911844209
2,1.1415292247993145,69.70403912128718,17.544398219113372,71.55171224140891
2,1.1419222582133288,70.05598158328515,17.575671531507137,71.91298378440506
